EX-21.1
6
sho-20251231xex21d1.htm
EX-21.1
Exhibit 21.1
​
SUBSIDIARIES OF
SUNSTONE HOTEL INVESTORS, INC.
​
Boston 1927 Lessee, Inc.
Boston 1927 Owner, LLC
Calistoga Vines, LLC
Calistoga Vines Lessee, Inc.
Golden Palms, LLC
Golden Palms Lessee, Inc.
Grateful Red, LLC
Gumbo Alley, LLC
Jenolia RIP, LLC
Jenron RIP, Inc.
Key West 2016, LLC
Key West 2016 Lessee, Inc.
Oaks & Olives, LLC
Oaks & Olives Lessee, Inc.
One Park Boulevard, LLC
PWB Omala, LLC
PWB Omala Lessee, Inc.
Sun CHP I, Inc.
Sun SHP II, LLC
Sunstone 42nd Street, LLC
Sunstone Canal Lessee, Inc.
Sunstone Canal, LLC
Sunstone East Grand Lessee, Inc.
Sunstone EC5 Lessee, Inc.
Sunstone EC5, LLC
Sunstone Hawaii 3-0 Lessee, Inc.
Sunstone Hawaii 3-0, LLC
Sunstone Holdco 4, LLC
Sunstone Holdco 8, LLC
Sunstone Holdco 10, LLC
Sunstone Hotel Acquisitions, LLC
Sunstone Hotel Partnership, LLC Sunstone Hotel TRS Lessee, Inc.
Sunstone K9 Lessee, Inc.
Sunstone K9, LLC
Sunstone LA Airport Lessee, Inc.
Sunstone LA Airport, LLC
Sunstone Ocean Lessee, Inc.
Sunstone Ocean, LLC
Sunstone Orlando Lender, LLC
Sunstone Park, LLC
Sunstone Park Lessee, LLC
Sunstone Sea Harbor Holdco, LLC
Sunstone Sea Harbor Lessee, Inc.
Sunstone Sea Harbor, LLC
Sunstone St. Charles Lessee, Inc.
Sunstone St. Charles, LLC
Snstone Westwood, LLC
Sunstone Wharf Lessee, Inc.
Sunstone Wharf, LLC
SWW No. 1, LLC
TM20, LLC
WB Sunstone-Portland, Inc.
WB Sunstone-Portland, LLC
